Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
3926.625,5,60,785.325,-3172.5,2.89246340140972,298.631048578762,0,183
-6538.931,10,30,-653.8931,-7667.145,0.213632147451481,-100,0,184
-17838.58,34,26.4705882352941,-524.664117647059,-21195.008,0.461343357170586,-93.3607576221467,0,185
-13254.293,19,21.0526315789474,-697.594368421053,-13446.614,0.276505558704239,-100,0,186
-6750.896,19,15.7894736842105,-355.310315789474,-7782.592,0.356192737368366,-94.2744595089776,0,187
-2922.145,3,0,-974.048333333333,-5061.072,0,-100,0,188
-25200.25,198,36.3636363636364,-127.27398989899,-27118.125,0.703416996567851,-95.3566141169904,0,189
2639.994,21,47.6190476190476,125.714,-4889.643,1.51315367471348,101.093651993502,0,190
0,0,0,0,0,0,0,0,191
-10326.346,17,41.1764705882353,-607.432117647059,-13280.852,0.220585072975806,-93.5939761795632,0,192
-9903.041,29,34.4827586206897,-341.484172413793,-13486.253,0.52910542478956,-86.8415551124586,0,193
-30169.097,93,29.0322580645161,-324.398892473118,-34842.44,0.458433743147487,-89.0076719415936,0,194
-5168.573,5,20,-1033.7146,-7221.073,0.113506752072514,-88.6493247927486,0,195
-1897.5,14,35.7142857142857,-135.535714285714,-8885,0.81026897310269,-29.8114689709348,0,196
-2480.36,4,25,-620.09,-4089.645,0.162041106728982,-83.7958893271018,0,197
-95.985,13,53.8461538461538,-7.38346153846154,-5547.5,0.983901165888686,-2.45497109587086,0,198
-26638.404,43,25.5813953488372,-619.497767441861,-28273.046,0.187650300559951,-97.7453271246655,0,199
-188,6,33.3333333333333,-31.3333333333333,-2991.5,0.922998156870776,-7.70018431292238,0,200
0,0,0,0,0,0,0,0,201
-4507.859,5,20,-901.5718,-7844.286,0.1389589520031,-100,0,202
-15537.151,40,27.5,-388.428775,-16668.758,0.513742318481759,-100,0,203
-22247.125,42,23.8095238095238,-529.693452380952,-25651.875,0.292787888420885,-91.8462975482126,0,204
3413.569,8,12.5,426.696125,-4875.716,1.75289390156136,81.7481121800429,0,205
1979.125,9,55.5555555555556,219.902777777778,-3460.375,1.78102801894238,92.2185334032267,0,206
-1742.858,3,0,-580.952666666667,-2118.036,0,-100,0,207
-10722.5,61,40.9836065573771,-175.77868852459,-20297.5,0.687663850859307,-74.6822218352777,0,208
-12681.439,33,39.3939393939394,-384.28603030303,-15862.376,0.486197084102262,-86.254350997417,0,209
-24961.455,167,36.5269461077844,-149.469790419162,-28481.453,0.664562668162429,-92.6728522684814,0,210
-5932.865,27,29.6296296296296,-219.735740740741,-8376.076,0.525004597544523,-93.2944264864705,0,211
-5540.719,16,31.25,-346.2949375,-6813.618,0.483382988331099,-100,0,212
-4688.24,66,36.3636363636364,-71.0339393939394,-9687.684,0.851590671558352,-50.2822601619825,0,213
-6146.966,6,0,-1024.49433333333,-7056.876,0,-100,0,214
-8287.696,42,35.7142857142857,-197.326095238095,-11668.626,0.667159212527964,-86.7270331841437,0,215
-22669.643,82,41.4634146341463,-276.45906097561,-25314.705,0.565899994153824,-100,0,216
-31718.957,92,32.6086956521739,-344.77127173913,-37012.073,0.505310707842555,-91.3110714687506,0,217
-6475.253,12,33.3333333333333,-539.604416666667,-10180.94,0.225610494068707,-79.0701397392582,0,218
-14699.217,111,36.036036036036,-132.425378378378,-16649.217,0.739985669086297,-89.4972162143255,0,219
-29649.202,47,19.1489361702128,-630.834085106383,-32469.202,0.281109403400277,-95.9545880828896,0,220
-17253.125,45,28.8888888888889,-383.402777777778,-18756.25,0.452694397081566,-98.6809179952813,0,221
-771.095,5,40,-154.219,-3754.375,0.716460405687449,-45.4420626151013,0,222
-10477.25,52,34.6153846153846,-201.485576923077,-18269,0.619289432327105,-61.3188774763702,0,223
-4921.084,24,33.3333333333333,-205.045166666667,-10165.011,0.534209199443181,-56.046443611475,0,224
0,0,0,0,0,0,0,0,225
5185.031,2,50,2592.5155,-4040,41.6669098039216,4066.69098039216,0,226
-47049.141,84,28.5714285714286,-560.108821428571,-49166.195,0.328017087330651,-100,0,227
-19462.246,64,31.25,-304.09759375,-22377.78,0.496968577423562,-94.3938099550988,0,228
0,0,0,0,0,0,0,0,229
-1400,16,56.25,-87.5,-4257.5,0.718875502008032,-65.2680652680653,0,230
0,0,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,232
0,0,0,0,0,0,0,0,233
-22935.011,76,31.5789473684211,-301.776460526316,-24408.225,0.49821244696829,-100,0,234
-1601.429,5,40,-320.2858,-3482.5,0.589527580791551,-66.1259500220086,0,235
-7009.289,15,26.6666666666667,-467.285933333333,-11096.163,0.51145063973002,-99.8308827184328,0,236
-29194.306,112,32.1428571428571,-260.663446428571,-30864.306,0.598006649413107,-100,0,237
-14295.142,66,30.3030303030303,-216.593060606061,-17111.031,0.622236610297107,-92.6539409357897,0,238
-24998.5,43,34.8837209302326,-581.360465116279,-25481.75,0.30917607395023,-100,0,239
-13913,27,22.2222222222222,-515.296296296296,-17265.5,0.431858669075949,-88.6997545503809,0,240
-15865.625,17,17.6470588235294,-933.272058823529,-16730.625,0.0763380999163119,-100,0,241
2265.625,1,100,2265.625,-2837.5,0,0,0,242
