Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomDirectionalTrades)
-13932.5,88,35.2272727272727,-158.323863636364,-22185,0.717250126839168,-69.3504230960677,0,179
-14040,66,37.8787878787879,-212.727272727273,-16310,0.544266818144932,-97.6186337563011,0,118
-14145,48,31.25,-294.6875,-16845,0.479484820607176,-87.5174013921114,0,206
-14187.5,57,31.5789473684211,-248.90350877193,-18112.5,0.536431955562817,-79.5263452914798,0,395
-14227.5,50,28,-284.55,-17262.5,0.478941585790148,-91.4657666345227,0,389
-14442.5,86,31.3953488372093,-167.936046511628,-20962.5,0.605288330144848,-69.686369119421,0,326
-14442.5,86,31.3953488372093,-167.936046511628,-20962.5,0.605288330144848,-69.686369119421,0,418
-14487.5,59,33.8983050847458,-245.550847457627,-18235,0.506850480810144,-87.7100045406387,0,351
-14487.5,59,33.8983050847458,-245.550847457627,-18235,0.506850480810144,-87.7100045406387,0,384
-14497.5,71,25.3521126760563,-204.19014084507,-15457.5,0.63830848874197,-97.249706523562,0,288
-14550,62,29.0322580645161,-234.677419354839,-16965,0.586265728300277,-94.251012145749,0,42
-14550,62,29.0322580645161,-234.677419354839,-16965,0.586265728300277,-94.251012145749,0,43
-14550,125,36,-116.4,-17117.5,0.697379367720466,-88.7601037059631,0,379
-14550,62,29.0322580645161,-234.677419354839,-16965,0.586265728300277,-94.251012145749,0,459
-14852.5,100,33,-148.525,-19012.5,0.600980589697092,-83.0212409167132,0,95
-14852.5,100,33,-148.525,-19012.5,0.600980589697092,-83.0212409167132,0,271
-14852.5,130,36.1538461538462,-114.25,-17082.5,0.749144956297766,-88.9904134212103,0,338
-15067.5,62,32.258064516129,-243.024193548387,-15347.5,0.416101530711103,-100,0,374
-15067.5,62,32.258064516129,-243.024193548387,-15347.5,0.416101530711103,-100,0,432
-15132.5,48,31.25,-315.260416666667,-17110,0.455910112359551,-93.26656394453,0,96
-15132.5,48,31.25,-315.260416666667,-17110,0.455910112359551,-93.26656394453,0,493
-15307.5,125,34.4,-122.46,-16900,0.70450267844216,-96.0621273925322,0,333
-15472.5,83,38.5542168674699,-186.415662650602,-17217.5,0.473769237309753,-96.9454887218045,0,170
-15472.5,83,38.5542168674699,-186.415662650602,-17217.5,0.473769237309753,-96.9454887218045,0,363
-15472.5,83,38.5542168674699,-186.415662650602,-17217.5,0.473769237309753,-96.9454887218045,0,398
-15495,94,34.0425531914894,-164.840425531915,-19455,0.640382941688425,-85.0906095551895,0,16
-15592.5,86,30.2325581395349,-181.308139534884,-17105,0.509168175021642,-92.6883637984842,0,427
-15592.5,86,30.2325581395349,-181.308139534884,-17105,0.509168175021642,-92.6883637984842,0,463
-15610,70,28.5714285714286,-223,-21467.5,0.568695171651585,-77.4593722863168,0,412
-15640,59,30.5084745762712,-265.084745762712,-17885,0.476966808795251,-96.4241676942047,0,15
-15652.5,61,32.7868852459016,-256.598360655738,-19125,0.65443205651838,-88.2452431289641,0,24
-15667.5,47,29.7872340425532,-333.351063829787,-18952.5,0.39815615096514,-86.3342058134729,0,434
-15765,60,40,-262.75,-17335,0.506881451360651,-97.3598888374247,0,196
-15765,60,40,-262.75,-17335,0.506881451360651,-97.3598888374247,0,284
-15765,60,40,-262.75,-17335,0.506881451360651,-97.3598888374247,0,373
-15945,91,35.1648351648352,-175.21978021978,-25670,0.667049488410942,-73.1422018348624,0,221
-15945,91,35.1648351648352,-175.21978021978,-25670,0.667049488410942,-73.1422018348624,0,272
-15977.5,47,27.6595744680851,-339.946808510638,-19952.5,0.418259603131258,-85.043246839654,0,115
-16037.5,97,35.0515463917526,-165.335051546392,-18615,0.657939639543564,-87.9489991774061,0,188
-16037.5,97,35.0515463917526,-165.335051546392,-18615,0.657939639543564,-87.9489991774061,0,203
-16037.5,97,35.0515463917526,-165.335051546392,-18615,0.657939639543564,-87.9489991774061,0,211
-16087.5,55,38.1818181818182,-292.5,-22222.5,0.553620976692564,-74.6779621678078,0,159
-16185,57,35.0877192982456,-283.947368421053,-20340,0.528134110787172,-86.9576897246474,0,489
-16465,94,28.7234042553191,-175.159574468085,-20315,0.654984546073655,-84.8930136633153,0,248
-16485,47,29.7872340425532,-350.744680851064,-19772.5,0.389105058365759,-87.4419838217743,0,259
-16520,215,36.2790697674419,-76.8372093023256,-28597.5,0.787305265868418,-59.2911619560341,0,113
-16520,215,36.2790697674419,-76.8372093023256,-28597.5,0.787305265868418,-59.2911619560341,0,335
-16635,60,35,-277.25,-18047.5,0.427070776648872,-96.4487606899551,0,479
-16697.5,86,32.5581395348837,-194.156976744186,-18870,0.534920966506511,-90.3299972951041,0,61
-16920,86,31.3953488372093,-196.744186046512,-22880,0.544119628182675,-75.1082010875596,0,294
-17060,51,31.3725490196078,-334.509803921569,-19437.5,0.318213607753022,-91.683460970039,0,25
-17082.5,115,27.8260869565217,-148.54347826087,-24472.5,0.669711910286156,-72.3834745762712,0,89
-17200,91,32.967032967033,-189.010989010989,-25357.5,0.683022345081778,-79.4182153988226,0,128
-17242.5,88,39.7727272727273,-195.9375,-24465,0.671383647798742,-80.0766283524904,0,486
-17270,61,31.1475409836066,-283.114754098361,-22157.5,0.613560080554934,-84.9274649618884,0,75
-17325,91,34.0659340659341,-190.384615384615,-24647.5,0.650511876544455,-81.3953488372093,0,219
-17837.5,50,24,-356.75,-20785,0.504307350284841,-90.9728420247354,0,171
-17885,68,33.8235294117647,-263.014705882353,-18237.5,0.403136993158685,-100,0,110
-18007.5,83,26.5060240963855,-216.957831325301,-19235,0.62055523363009,-96.5032154340836,0,431
-18007.5,83,26.5060240963855,-216.957831325301,-19235,0.62055523363009,-96.5032154340836,0,443
-18030,55,34.5454545454545,-327.818181818182,-20805,0.433241650294695,-90.6030150753769,0,65
-18045,94,30.8510638297872,-191.968085106383,-21397.5,0.608440924378865,-87.4485098134238,0,454
-18070,43,30.2325581395349,-420.232558139535,-25727.5,0.465582255083179,-71.6139898939859,0,149
-18070,43,30.2325581395349,-420.232558139535,-25727.5,0.465582255083179,-71.6139898939859,0,391
-18235,57,33.3333333333333,-319.912280701754,-21590,0.475100748416811,-88.1343644272596,0,178
-18242.5,86,27.906976744186,-212.122093023256,-23045,0.532603125800666,-81.6950291088222,0,4
-18265,71,29.5774647887324,-257.253521126761,-19792.5,0.577443609022556,-100,0,312
-18475,60,33.3333333333333,-307.916666666667,-19947.5,0.417881055533675,-96.7150896479518,0,309
